memberId,eventId,rsvpRating
173278262,hlkwflyvqbqb,1
57903822,qhwqbfyvhbsb,1
145233972,fxxnrlyvhbbc,1
174933982,229569748,0
183029431,xcqpdlyvpbvb,1
131647302,qgfvzkyvnbgb,1
201491286,229685369,1
199700730,230192366,1
8495843,qgnkggyvjbvb,1
202107747,wnpvrlyvhbpb,1
110423572,230576003,1
33460632,229471154,1
132604382,229311592,1
203281251,230407024,1
104467362,htdmllyvhbhb,1
186315915,227995892,1
131647302,kjmvdlyvpbmb,1
12889700,fkrmslyvhbhb,1
196897322,229228665,1
202393201,228598299,1
37047172,djrlrlywcbkb,1
183633437,rzddslyvkbhc,1
9043318,ncskdlyvkblc,1
202089166,230291968,1
144568492,tbftplywcbtb,1
59616222,qwcvqfyvhbfc,1
59583012,227930430,1
191073610,230460719,1
195154146,228545100,1
8252917,230298910,1
20620871,227393111,1
182515255,230176219,1
185191174,kvgqmlyvgbkc,1
196615255,230375391,1
203263673,229648843,1
139996272,nzstrlyvgblc,0
178020882,228181893,1
194717686,229859218,1
12075553,230102311,1
12412996,dnscvkyvlbwb,1
200660683,229311592,1
195855190,230160519,1
11377884,230291968,1
66378772,230329354,1
71631102,zrqnflyvgbmc,1
1986197,cvcvzyvgblc,1
1207469,229181916,1
37047172,qvlsbfyvqbpc,1
202450037,229959249,1
144568492,snjkslywdbjc,1
937832,mgprhlyvkbgc,1
75595152,229471154,1
186924787,230301874,0
103383312,xvslslyvlbdb,1
17121841,qdlnrcyvhbxb,1
46709092,wwfdmlyvmbmb,1
18828561,qrngnlyvgbdc,1
88637292,gcsnjlyvhbzb,1
14175541,228241765,1
182983241,230538481,1
14521773,pttbmlyvgbnc,1
5698827,qlsdggyvkblb,1
108837562,227284086,0
193905266,230414892,0
9377831,229971820,1
3466187,230063595,1
113334412,228663997,1
7092500,zqlwrlyvlbbc,1
202119380,227192864,1
90285292,229518187,1
144568492,gxrtnlywdbhb,1
6258141,qcgkqcyvhbnc,1
186734279,230233514,1
153696752,nlvfnlyvhbdb,1
14374301,230093115,0
64060092,lvzxplyvhbkb,1
196907730,229662221,1
55824582,229471154,1
59616222,dgvsqfyvjblc,1
35362602,228685962,1
193541289,229486654,1
202031569,mljgslyvjbpb,1
37047172,djrlrlywdbgb,1
7092500,gqlwrlyvpbjc,1
198793991,229856524,1
937832,mgprhlyvmbxb,1
140383112,229964673,1
71631102,txctrlyvmbjb,1
805238,229789054,1
8284563,229590832,1
131647302,mgprhlyvgbgc,1
183029431,xcqpdlyvjbmc,1
161948212,227841745,1
131647302,qqgnthyvmbbc,1
144568492,rzdtplyvqbxb,1
7092500,zfrpslywcbmc,1
203772812,230027634,1
46709092,wwfdmlyvhbkc,1
192261117,229648843,1
131647302,kjmvdlyvpbnc,1
144568492,mzrtnlywfbzb,1
35872672,dhvdhlywfbpc,1
188911993,229375564,1
158007772,227845500,1
89183262,229641643,1
59616222,djtsqfyvkbqb,1
155154702,230316259,0
93032152,227841745,1
202098870,dslsbfyvgbdc,1
6213216,230350287,1
14493252,230199048,1
12889700,fkrmslyvjbcc,1
176842692,228544599,1
107483792,222042280,1
38309552,230053272,1
78717692,230210760,1
102299912,230367252,1
112177462,dkmbvjyvhbpb,1
8420361,czlqnlyvpbvb,1
7834453,229109065,1
183029431,xcqpdlyvmbsb,1
185106835,wbktmlyvhbfc,1
203022845,230027473,0
50409972,jlbtdlyvjbpb,1
195379842,whlsrlyvhbfb,1
9396265,hkfqrlyvqbkb,1
35872672,vjvdhlywfbnb,1
183029431,xcqpdlyvmbkb,1
202907716,230503990,1
167051612,swwjmlyvgbjc,0
20062931,230176219,1
147405462,227393111,1
183633437,tbfdslywfbjb,1
71631102,htdmllyvnbbc,1
7379363,230553384,1
200436011,229315334,1
5091165,qzpntkywdbjc,1
6258141,pmwntyvjbfc,1
13442744,qddnfgywcbkc,1
12961604,230348007,1
9156239,230452135,1
129404062,230514179,1
185523884,229826329,1
37047172,dslsbfyvkbmc,1
182632029,228804058,1
149051262,lgdnnlyvgblc,1
171150502,dppzmlyvqbnc,1
1232291,kjzmnywfbjb,1
186972465,230465303,1
193418826,230342092,1
12557832,xvslslyvpbmc,1
188479600,230348007,1
2650644,ncldnlywdbpb,1
13133195,dhcmfkyvhbrb,1
148128352,229662221,1
119092382,228954793,1
147641352,230518564,1
1324258,230164873,1
196493781,230257876,0
9931437,230497551,1
12370308,whlsrlyvgbjc,1
187045886,mdkqslyvnbrb,1
14971011,229118882,1
71631102,wgrqklywgbgb,1
189995839,dvgtqlyvhbcb,1
57697602,rqzwllyvpbkb,1
196018398,227192864,1
6134007,230134363,1
898298,229487034,1
123462422,228544599,0
46709092,wwfdmlyvpbhc,1
182948471,vwwdklyvqbhc,1
198186992,229311598,1
186185016,229579701,1
13386125,230102311,0
1916461,229931453,1
183104367,229764469,1
1986197,hmqkjlyvhbgb,1
118033722,sfvnllyvqbkc,1
35872672,wqfdhlyvgbgc,1
171423242,228802322,0
47265662,230126262,1
144568492,qsznnlyvjbnc,1
144568492,hnjkslyvnbnc,1
35660732,pxvctyvpbcb,1
89056512,wscrplywdbgb,1
183840775,229599988,1
103726672,230482207,1
112177462,strzclyvgbgc,1
50783482,230275055,1
25255942,swkmplywdbfc,1
144568492,snjkslyvjbjc,1
131647302,mgprhlyvqbxb,1
7425326,zsrbslyvjbmc,1
5698827,qggdjjyvjbrb,1
57903822,qhwqbfywgbcb,1
37047172,djrlrlyvjbpb,1
57171942,229974609,0
166669142,230047224,1
144568492,qsznnlyvqbcb,1
37047172,qvlsbfyvnbtb,1
184623,wtwdflyvnbhc,1
12607786,dwsbmlyvgbdc,0
7092500,sdrpslyvjbhb,1
1612116,prgpllyvhblc,1
57855542,qgqpmgyvlbwb,1
187045886,mdkqslyvmbcb,1
183438105,228795284,1
184623,wtwdflyvjblc,1
3617963,hzkbslyvnbkc,1
197694236,230017777,1
1986197,hmqkjlyvhbhc,1
6482988,229647069,1
3386222,229638256,0
37481622,229647069,0
182948471,vwwdklyvlblc,1
74487902,228326099,1
162441722,vlzpdlywcbhc,1
93094682,229157100,1
11955908,230008159,1
9433921,230102311,1
1612116,prgpllyvqbnb,1
200711253,228807599,0
187045886,mdkqslywfbmb,1
178171162,230313154,1
88970212,228545100,1
73321382,230039735,1
7034876,226612312,1
184732259,gbhtrlyvgbjc,1
6258141,pmwntyvjbdb,1
200586043,227842136,0
71990432,229346852,0
9994125,228124309,1
151828822,dmgzhfywdbcc,1
2358808,230532917,1
7092500,zqlwrlyvjbgb,1
12176775,dkhgtjywcbjc,1
186901483,229078713,1
122660622,230441464,1
178006222,229647069,1
144568492,gxrtnlyvgbgc,1
10247538,229963664,1
202497986,228781991,1
196532354,228408334,0
9812916,znkcslyvqbkc,1
12105998,230124718,0
75548022,230347068,1
3617963,hzkbslywfbnc,1
8689193,230007564,1
12889700,fkrmslyvjbbc,1
43937832,228782232,1
10325043,223477134,1
81299062,wgrqklyvgbjc,1
4196353,dlxhkcyvjbsb,1
8749138,229935253,1
186924787,230027656,0
183195504,229821025,1
13199566,qknvqcywdbsb,1
12016059,230379765,1
56883292,228931356,0
9254651,dxpdwgyvgbmc,1
71631102,htdmllywdbdb,1
58335402,229318243,1
9868010,229965839,1
183633437,tbfdslywdbbc,1
1413079,229920363,1
71174612,224852589,1
143132302,dcsgkjyvgblc,1
68205472,228931356,1
9756379,jkfgglyvpbwb,1
199316201,230361274,1
194378273,230199048,1
1981292,229486654,1
57903822,qhwqbfyvkbfc,1
13199566,qknvqcyvnbgb,1
2855036,229200932,1
28235292,pjblrlywfbgb,1
14374204,228802322,1
135393822,227845500,1
138363572,229823070,1
104887332,230375391,1
2650644,krcgllyvpbhb,1
144568492,gxrtnlyvhbtb,1
1986197,hmqkjlyvpbdb,1
39427422,230265757,1
183982078,230093115,1
27180232,mcvxnlyvkbgc,1
194880731,230400111,1
192969545,hnjkslyvpbjb,1
124286882,229275447,1
167282562,228680549,1
104887332,230160519,1
118033722,sfvnllyvlbvb,1
31331162,227393111,1
37047172,qvlsbfyvhbkb,1
98031092,227324589,1
195754876,230317634,1
156977492,228663997,1
84990642,230554609,1
106663822,qnzhpgyvmbsb,1
128203972,zhbknlyvkbsb,1
134607772,230482790,1
1324258,230500188,1
20913491,230347068,1
195543703,230133690,1
12408939,230008944,0
189265173,xlvrslyvhbzb,1
87042022,ffcmglyvqbhc,1
11865276,226992126,1
13199566,qknvqcyvpbcb,1
3386222,hkfqrlyvhbxb,0
718291,230102311,1
10222174,230361053,1
12361732,qsvtmlywfblb,1
143282622,229311592,0
94499612,229569748,0
196061885,mfmpqlyvhbzb,1
188211655,229609653,1
197781830,227924431,1
164011962,230151323,1
143577512,dtwqqgyvpbnb,1
189102945,229311592,0
162441722,vlzpdlyvjblb,1
200671665,ngplslyvhbgc,1
174933982,230039735,1
42320812,227842136,1
12557832,xvslslyvjbcc,1
37481622,230248954,1
144568492,tbftplyvmbxb,1
64193772,230379765,1
34753592,qdmcslyvjbdc,1
4567880,230267364,0
144568492,rzdtplywfbjc,1
195440405,230248111,1
6974374,230266501,1
4317127,xvgznywcbxb,1
12557832,hzkbslyvmbtb,1
53889702,228264870,1
201030042,230434415,1
131647302,qgfvzkywcbpc,1
181711912,230126262,1
120959102,229315572,0
104004002,xkzvflyvhbcb,1
33536452,230349498,1
5698827,xvfpklyvhbmc,1
112394682,230222325,1
91108252,230348029,1
7973972,vjnzqlywcbjc,1
186734279,230575711,1
189955437,thxhqlywfbmc,1
13667983,229707210,1
155721592,230102311,1
131647302,mgprhlyvhbcb,1
59616222,qrvtqfyvkbqb,1
37047172,djrlrlyvnblb,1
133224752,dfsdgjyvnblb,1
196221628,229471154,1
196213402,230466687,1
197350257,229638256,0
1986197,hmqkjlyvpbfc,1
6997882,lqkqmlyvkbkb,0
3248089,230355102,1
13015673,229486654,1
170269192,227393111,1
37047172,qvlsbfywcbkb,1
118214382,qvlsbfyvgbfc,1
12607786,230547288,1
188521424,223477134,1
756863,dfsdgjyvgbfc,1
171423242,228802346,1
186810147,230228337,1
2322401,pttbmlyvlbrb,1
183633437,tbfdslyvnbgc,1
200125883,230141681,1
193314342,228804058,1
144568492,snjkslyvmbhc,1
72023842,228782232,1
198093964,230514179,1
103256912,229450873,1
6386292,bpxqflyvqblb,1
199790490,230314290,0
4124431,229685369,0
59616222,qhwsqfyvhbmc,1
85822732,230479412,1
50538542,whlsrlyvgbjc,1
7916743,230361274,1
173278262,hlkwflyvmbhb,1
46709092,vblwqlywcbmc,1
5566401,230266309,1
47855622,229826329,1
183953793,230266501,1
43942092,229976320,1
60369212,dxxjwkyvgbjc,0
47559862,229965839,1
190792025,229936477,1
31545462,229647069,1
75661572,znkcslyvjbsb,1
3617963,hzkbslyvpbnb,1
93882612,230133690,1
131647302,qgfvzkyvqbjb,1
10073304,229685369,1
22752581,227868018,1
48863052,230347068,1
526815,230229290,1
108162602,230361274,1
152571612,wtwdflyvgbjc,1
118962412,230027575,1
8074077,vnrvrlyvkbdc,1
71631102,txctrlyvjblc,1
187193932,230115618,1
183104367,229582153,1
190409778,230135576,1
5094238,229096016,1
13044519,zhbknlyvlbhc,1
141662362,229487034,1
201259109,230335190,0
133224752,dfsdgjyvgbfc,1
7874734,dxxjwkyvhbnb,1
14519166,229518187,0
20090221,230517921,1
