memberId,memberLat,memberLon,eventId,eventTime,eventYesRSVPCount,groupId,venueId,venueLat,venueLon,rsvpTime,rsvpResponse,rsvpRating,eventDay,eventPeriod
13797015,38.91,-77.02,dbjpdhyvjbzb,1466353800000,28,195518,1284496,38.9031982421875,-77.05191040039062,1461269837000,yes,1,SUNDAY,DAY
75834052,38.98,-77.39,230195488,1462226400000,35,18443482,23504645,38.8841667175293,-77.11680603027344,1461277412000,yes,1,MONDAY,EVENING
186604862,33.88,-84.33,rhftnlyvlbmc,1472511600000,3,146014,1170451,38.93606185913086,-77.05821990966797,1452616168000,yes,1,MONDAY,EVENING
192444667,38.88,-76.99,cwmnnlyvjbqb,1465756200000,1,18964583,24172972,38.91021347045898,-77.04102325439453,1452176346000,yes,1,SUNDAY,DAY
200037713,38.91,-77.02,hxjqslyvgbjc,1461712500000,1,19594237,24472178,39.14933776855469,-77.02629852294922,1461037168000,yes,1,TUESDAY,EVENING
202176929,38.81,-76.99,230516222,1463439600000,7,2425032,746882,38.89418029785156,-77.07624053955078,1461430154000,yes,1,MONDAY,EVENING
233726,38.91,-77.02,dchpdhyvhbtb,1463329800000,27,60012,1284496,38.9031982421875,-77.05191040039062,1384661972000,yes,1,SUNDAY,DAY
10573196,38.9,-77.05,vlcqjlyvhbdb,1462201200000,5,1667388,24191706,38.90483856201172,-77.0517578125,1446688519000,yes,1,MONDAY,DAY
9577193,38.91,-77.02,qfhpdhywgbvb,1492360200000,25,27192,1284496,38.9031982421875,-77.05191040039062,1384662100000,yes,1,SUNDAY,DAY
5707527,39.0,-77.1,nkftnlywgbfb,1491260400000,5,306884,1170451,38.93606185913086,-77.05821990966797,1452616678000,yes,1,MONDAY,EVENING
48498542,38.89,-77.1,hljzrlyvlbmb,1470783600000,3,18397756,807180,38.84781265258789,-77.10784149169922,1459216938000,yes,1,TUESDAY,EVENING
5543604,38.91,-77.02,dvhhqkyvnbkc,1477603800000,1,134752,7914402,38.90911483764648,-77.04443359375,1411047358000,yes,1,THURSDAY,DAY
12301932,38.9,-77.05,qrgpdhyvpbbc,1479663000000,27,41291,1284496,38.9031982421875,-77.05191040039062,1384661239000,yes,1,SUNDAY,DAY
196261489,39.2,-76.83,vhvpmlyvhbpb,1463005800000,12,1004592,8892822,39.16833114624024,-76.86670684814453,1454573340000,yes,1,WEDNESDAY,EVENING
72833512,39.05,-77.12,229699217,1461455100000,4,6729142,971617,38.96760177612305,-77.13953399658203,1458393628000,no,0,SATURDAY,EVENING
13796980,38.91,-77.02,qzfpdhyvnbvb,1476635400000,27,21110,1284496,38.9031982421875,-77.05191040039062,1384659961000,yes,1,SUNDAY,DAY
3852553,38.83,-77.34,229806969,1461621600000,18,13135042,23025132,38.923011779785156,-77.22628784179688,1458708174000,yes,1,MONDAY,EVENING
184747618,38.9,-77.04,222054757,1466262000000,53,18560994,871254,38.88986206054688,-77.03759002685547,1432345506000,yes,1,SATURDAY,DAY
11122850,38.91,-77.02,lvfqclyvkbnb,1468162800000,1,1628521,1156548,38.89769744873047,-77.0365219116211,1416117269000,yes,1,SUNDAY,DAY
34440072,38.82,-77.06,zrpxrlyvlbgb,1470351600000,3,18397756,4926852,38.86950302124024,-77.13230895996094,1459226680000,yes,1,THURSDAY,EVENING
9577193,38.91,-77.02,qsfpdhyvjbzb,1466353800000,28,139559,1284496,38.9031982421875,-77.05191040039062,1384659583000,yes,1,SUNDAY,DAY
1934524,38.9,-77.05,qtgpdhyvjbzb,1466353800000,27,95301,1284496,38.9031982421875,-77.05191040039062,1456040476000,yes,1,SUNDAY,DAY
5388073,38.9,-77.04,dqkpdhywgbvb,1492360200000,26,54676,1284496,38.9031982421875,-77.05191040039062,1384667725000,yes,1,SUNDAY,DAY
45806822,38.8,-77.21,227484241,1463850000000,60,2907612,23994684,39.44325637817383,-98.95733642578124,1458853018000,yes,1,SATURDAY,DAY
72479132,38.9,-77.04,bksmflytgbbc,1461448800000,130,1882711,13657312,38.90832138061523,-77.0421142578125,1460752225000,no,0,SATURDAY,EVENING
13636823,38.89,-77.32,230360165,1462399200000,35,1714512,24479313,38.91576766967773,-77.04605865478516,1460598141000,yes,1,WEDNESDAY,EVENING
8419738,38.92,-77.04,spqcllyvlbvb,1471348800000,3,1678228,2460991,38.9053840637207,-77.05758666992188,1452528572000,yes,1,TUESDAY,DAY
6001623,38.92,-77.04,wtxtklyvhbmb,1462836600000,2,3270782,13687282,38.923118591308594,-77.04230499267578,1442513544000,yes,1,MONDAY,EVENING
