memberId,eventId,rsvpRating
13797015,dbjpdhyvjbzb,1
75834052,230195488,1
186604862,rhftnlyvlbmc,1
192444667,cwmnnlyvjbqb,1
200037713,hxjqslyvgbjc,1
202176929,230516222,1
233726,dchpdhyvhbtb,1
10573196,vlcqjlyvhbdb,1
9577193,qfhpdhywgbvb,1
5707527,nkftnlywgbfb,1
48498542,hljzrlyvlbmb,1
5543604,dvhhqkyvnbkc,1
12301932,qrgpdhyvpbbc,1
196261489,vhvpmlyvhbpb,1
72833512,229699217,0
13796980,qzfpdhyvnbvb,1
3852553,229806969,1
184747618,222054757,1
11122850,lvfqclyvkbnb,1
34440072,zrpxrlyvlbgb,1
9577193,qsfpdhyvjbzb,1
1934524,qtgpdhyvjbzb,1
5388073,dqkpdhywgbvb,1
45806822,227484241,1
72479132,bksmflytgbbc,0
13636823,230360165,1
8419738,spqcllyvlbvb,1
6001623,wtxtklyvhbmb,1
110367702,qnqskhyvmbqb,1
155585592,khqcplyvkbzb,1
198522756,gplxmlyvgbhc,1
110370942,ghmcrlyvpbgc,1
9619844,gqxgmlyvlbjb,1
79312532,229691492,1
13796042,qxrgmlyvnbvb,1
12302008,qkptqkyvhbtb,1
116897452,230450567,1
101932522,fpjfmlyvgbhc,0
201655636,229391640,1
183719898,rpprrlywfbpb,1
188824572,227890749,1
4939792,230412814,1
12302008,qqgpdhywfbzb,1
12886325,lkbkslyvkbnb,1
6893986,qkvrdkywfbjc,1
9293657,qghpdhyvhbtb,1
197831905,229938087,0
12926917,226837605,1
201408475,230074729,1
12048975,230398315,1
32555772,qgclhfyvjbjc,1
2265932,ddfxjkytkbjb,0
192507560,229372935,1
4181218,qpkpdhyvpbbc,1
4177132,qqgpdhywfbzb,1
198795543,230308257,1
65161622,ghkqjlyvnbvb,1
12385438,rbgjplyvkbvb,1
148720792,hjpxrlywcbwb,1
182625738,230370727,1
199921884,sbzlrlyvhbfc,1
7494815,qrdcplyvhbzb,1
5430820,dchpdhyvnbvb,1
8451766,226837628,1
140011292,ghmcrlyvpbfb,1
9222974,228844178,1
195184337,mdtdmlyvnbgb,1
183921848,hljzrlyvhbnb,1
100933682,ddfxjkytkbjb,1
940526,qwwtskyvjbfc,1
14537266,qngqjhywdbvb,1
201870371,ddfxjkytkbjb,0
184134474,230414102,1
12084213,rrkrhlyvqbzb,1
7393638,229794844,0
11815255,sqxnqlyvmbzb,1
13694345,229918497,1
11708362,zrpxrlyvjbdb,1
69986842,ftlsjlyvlbcb,1
9577193,qvjpdhyvhbtb,1
12301932,qxrgmlyvjbzb,1
38582232,ddfxjkytkbjb,1
32767052,229797875,1
12302008,qtgpdhyvmbxb,1
1934524,qzfpdhywgbvb,1
65161622,ghkqjlyvmbxb,1
32555772,qgclhfyvnbvb,1
157246602,qzcfslyvlbqb,1
14628223,230398315,0
190705989,jjdwglytqbkb,1
182511913,229415515,0
186691628,scmtrlyvhbhb,0
1076891,230239208,1
68862962,vzdmmlyvkbcc,1
25632652,jjdwglytqbkb,1
83849332,rwltglywfbmc,1
13033780,gstnpyvmbhc,1
191922936,229391640,1
1180128,qztzhgywfbzb,1
200742312,230306971,1
152377222,vcqnclyvnbqb,1
182594830,230234528,0
5430820,vjmpflyvkbwb,1
10839924,qlkpdhywcbtb,1
173497142,230094518,1
8414685,lvrwmlyvhbdb,1
9038961,cfvrqyvjbtb,1
21260101,jjdwglytqbkb,0
195184337,mdtdmlyvmbkc,1
3534129,dfmlchywcbtb,1
74138662,cpvwllywfbhc,1
9577326,dxdpdhywgbvb,1
202016915,229674643,1
8262662,229078977,1
2184374,dbjpdhyvjbzb,1
8089771,jjdwglytqbkb,0
200414338,230352572,0
196925089,229364372,0
203470156,230010212,0
191045110,ddfxjkytkbjb,1
21435811,mtkdplywfblc,1
191159666,ftpxrlyvgbgc,1
9253963,qqgpdhyvmbxb,1
5092258,lrhgnlyvhbhb,1
5323968,229918497,1
26519052,qkvrdkyvqbgb,1
185188194,bczlrlywcbhc,1
2028995,qlkpdhywcbtb,1
190324956,bksmflytgbbc,0
