memberId,memberLat,memberLon,eventId,eventTime,eventYesRSVPCount,groupId,venueId,venueLat,venueLon,rsvpTime,rsvpResponse,rsvpRating,eventDay,eventPeriod
14162423,40.75,-73.99,dbwzgkywcbrb,1484352000000,1,8870392,2288781,40.72829818725586,-74.00480651855469,1407339247000,yes,1,FRIDAY,EVENING
21577081,40.98,-73.72,mkcrjlyvgbgc,1461531600000,8,5758282,888618,40.76372909545898,-73.94139099121094,1460038837000,yes,1,SUNDAY,DAY
1438101,40.75,-73.99,qscwglywfbtb,1489586400000,1,1688887,23812909,0.0,0.0,1430829990000,yes,1,WEDNESDAY,DAY
157706962,40.7,-74.01,csmrplyvkbcb,1467415800000,2,1703354,5494232,40.758934020996094,-73.98004913330078,1454067751000,yes,1,FRIDAY,EVENING
56129962,40.72,-74.0,230298778,1461796200000,185,1716720,19069612,40.748382568359375,-73.98467254638672,1461148300000,waitlist,1,WEDNESDAY,EVENING
15349471,40.74,-74.0,229745771,1463850000000,4,19509641,18990782,40.770904541015625,-73.98294830322266,1458521346000,yes,1,SATURDAY,DAY
94433892,40.76,-73.99,pndrclyvhbtb,1463346000000,2,18120272,12271242,40.7552375793457,-73.99036407470703,1416324253000,yes,1,SUNDAY,DAY
186774737,40.75,-73.99,zlwmslyvlbzb,1471647600000,1,19841878,472925,40.7535400390625,-73.99246978759766,1460678473000,yes,1,FRIDAY,EVENING
8082574,41.03,-73.76,svwbqywdbsb,1487118600000,2,242218,769965,41.02141189575195,-73.74601745605469,1024081200000,yes,1,TUESDAY,EVENING
10017349,40.76,-73.99,tslpmlyvhbfb,1462320000000,1,14956142,18895822,40.75405502319336,-73.98949432373047,1448933746000,yes,1,TUESDAY,EVENING
2069965,40.7,-73.99,gzskjlyvgbjc,1461708000000,7,1661860,4287212,40.72486877441406,-73.9983901977539,1460649742000,yes,1,TUESDAY,EVENING
23834082,40.78,-73.96,230298778,1461796200000,185,1716720,19069612,40.748382568359375,-73.98467254638672,1460472441000,yes,1,WEDNESDAY,EVENING
166592742,40.78,-73.96,228689320,1466460000000,4,6638002,399175,40.75556182861328,-73.98182678222656,1454886826000,yes,1,MONDAY,EVENING
131420242,40.67,-73.99,crtkllyvlbtb,1471303800000,1,19016453,22208752,40.63713455200195,-73.95459747314453,1444573755000,yes,1,MONDAY,EVENING
8935020,40.72,-74.0,qnkgslywfbgc,1490410800000,2,690992,2683201,40.86241149902344,-73.91800689697266,1459907553000,yes,1,FRIDAY,EVENING
6844070,40.8,-73.97,229922268,1461880800000,63,15612262,23952505,40.75259780883789,-73.9955062866211,1459226275000,yes,1,THURSDAY,EVENING
126015972,40.74,-73.99,pwwpklyvhbjc,1464264000000,3,18423310,5557252,40.76093673706055,-73.98104095458984,1441831241000,yes,1,THURSDAY,DAY
14162423,40.75,-73.99,dbwzgkyvmbmb,1473462000000,1,8870392,2288781,40.72829818725586,-74.00480651855469,1407339247000,yes,1,FRIDAY,EVENING
198778538,41.02,-73.84,229620255,1461415500000,43,1338658,21235522,41.49429321289063,-73.95906829833984,1459129204000,yes,1,SATURDAY,DAY
186452538,40.73,-73.99,pjxbplywdblc,1488324600000,1,18739330,23961986,40.74507141113281,-73.99263000488281,1453225886000,yes,1,TUESDAY,EVENING
189251717,40.66,-74.12,dmvmxkywfbnc,1490914800000,1,16346022,18403192,40.75838088989258,-73.97099304199219,1442672675000,yes,1,THURSDAY,EVENING
3378438,40.73,-74.01,158417572,1577854800000,2,1337582,17614602,41.54426956176758,-73.96920776367188,1388768075000,yes,1,TUESDAY,EVENING
13313393,40.76,-73.95,clkgslywfbfb,1488600000000,3,6485482,2683201,40.86241149902344,-73.91800689697266,1459906860000,yes,1,FRIDAY,EVENING
48494312,40.82,-74.3,cspnklyvjbmb,1465509600000,1,15539002,24077416,40.71930313110352,-73.99732208251953,1442754704000,yes,1,THURSDAY,EVENING
7324935,40.71,-73.95,230379077,1462314600000,44,4013652,23871753,0.0,0.0,1460662950000,yes,1,TUESDAY,EVENING
145313912,40.85,-73.98,lxmrllywdbqb,1486945800000,1,14294332,19953262,40.74888229370117,-73.9864730834961,1445586607000,yes,1,SUNDAY,EVENING
