memberId,eventId,rsvpRating
95229622,mfntnlyvhbgc,1
102988132,dfxptkyvhbdb,1
184553856,khcqslyvnblb,1
185545377,xttjmlyvpbdc,1
195074189,hptrslywfbxb,1
191132743,fjlkrlyvkbsb,1
9166245,xxwgnlywfbhb,1
200351963,czfbslyvgbdc,1
12315662,dpmshlyvmbjc,1
33084932,230321707,1
54977772,229919976,0
92732962,qjtcwgyvkbjb,1
191442523,230544353,1
155875302,229717356,1
168545422,llnrglyvjbdb,1
118534462,djzwchywcbdc,1
111904442,cwmnmlyvnbfb,1
182672962,sbsjflyvkbfc,1
13313393,vlkgslyvmbdb,1
194158732,228565043,1
93924582,230471688,1
26113392,srqzmlyvhbqb,1
3053565,dbwgjfyvlbmc,1
83971592,dpdpggyvqbjb,1
141559982,dvbcrjywcbzb,1
13609772,229691728,1
4379102,230542976,0
66392172,230160250,1
105453292,lpzmnlywdbgc,1
10017349,dngbslyvgbjc,1
85223142,dcjhqlywfblb,1
3624800,dmbrrgywdbdc,1
29817582,229599350,1
66933932,164579302,1
191132743,jprlslyvqbkb,1
9532526,230462671,0
10646885,wwvkmlywdbvb,1
126015972,jrbfllywdbvb,1
66056322,227228087,0
182503568,qwdqmlyvmbmb,1
13861593,229889629,1
200863933,mdtxrlywdbfb,1
3161346,227792686,1
9247094,mwjcjlywcbmb,1
202328028,230492134,1
9936466,xbllhlyvmbkb,1
186612643,qkrmnlyvmbsb,1
2986853,pwkbvyvlbgb,1
47614962,230460222,1
9247094,mwjcjlyvmbzb,1
100242362,230516490,1
100530962,bstmqlyvpbgc,1
13998446,dhvjdlyvhbcb,1
184943215,hzfzjlyvgbfc,1
168545422,sxrlglyvjbgb,1
126102442,qghbdkywcbjb,1
114182872,dspjqlyvqbdc,1
62250692,mwhrmlywfbcc,1
91382162,qtncwjyvlbcb,1
13324601,hhkvqyvkbvb,1
2707825,vmsdllyvnbpb,1
190143752,228389495,1
5256429,230234129,1
8935020,dpmshlyvnbfb,1
3022181,229973538,1
8474253,229938064,0
88283772,164579302,1
47793692,gjcmrlyvqbnb,1
110597722,bzhpslyvgblc,1
150689912,dfwnnlyvjbnc,1
12105025,cljcqlyvpbkb,1
9247094,llmshlywfbkc,1
1954899,229865030,1
182672962,lxxnllyvlbfb,1
11784392,grgfllyvnbcc,1
5051694,zckkrlyvgbfc,1
11435014,dfdlxjywcbhb,1
201905739,229972743,1
186452538,sxqjjlywfbxb,1
100528462,dpmshlyvqbjc,1
27522532,xjhkdlywfbjb,1
80365852,230168562,1
156854762,228982800,1
163535682,xrklrlywdbbc,1
182938051,228854059,1
2858680,dpxggfyvkbqb,1
127205362,qknpblyvmbjb,1
47793692,gjcmrlywdbhc,1
102074472,ddlfslyvlbgb,1
88400692,hlmfllyvmbcc,1
170796922,164579302,1
121074462,230293490,1
147547122,fpxrklywcbmc,1
4988418,229667122,1
1164150,lcmtflywgbgb,1
88458392,229823905,1
191941484,gncbplyvqbcc,1
12718881,230143703,1
203581691,230459549,1
9919752,zrxzllyvgbdc,1
131420242,crtkllyvpbkb,1
193465018,ftxlrlyvnbfc,1
203399466,230159313,1
10017349,dngbslyvhbdb,1
14030450,229888342,1
70972302,230531390,1
10845009,krbqjlyvjbvb,1
191764197,229079524,0
30043122,lpzmnlyvhbbc,1
156067652,230066284,1
198377746,phlqslyvlbcb,1
108283262,230463363,1
2858680,dpxggfyvnbxb,1
13313393,zkmshlyvqbzb,1
119445272,229488319,1
156612622,pwrkrlywgbdb,1
182503568,lxdqmlyvkbmc,1
12222786,229562497,1
76224792,dfsgxkyvlbsb,1
134994352,mjcgrlyvgbgc,1
183542229,230202859,1
201992292,229719489,1
102973182,hqpdrlyvpbnc,1
