memberId,eventId,rsvpRating
15552931,dqlmjhyvhbcb,1
47832532,223668878,1
63966312,230473184,1
12435020,pqzsplyvqbjb,1
161123542,dgdwgkyvhbhb,1
43214762,dzvjrjyvpbgc,1
200632582,222051049,0
192869213,gpwmslyvpbfb,1
13508432,230466331,1
163710182,xrdjslyvlbvb,1
189959508,229776247,1
155723872,dxpvrlyvpbtb,1
22467751,229781393,1
77398902,230509347,1
191290201,229798685,1
175190992,qvbnvkyvlbcc,1
72426302,tqgnslyvlbzb,1
50173552,229841688,0
23169511,229945115,0
201748769,230546898,1
192820828,zjjrmlyvhbkc,1
40301722,qbsdwjywdbrb,1
5873177,dwvbzjyvlbzb,1
123339402,230023441,1
28898812,230441483,1
136944582,kjggnlyvjbgb,1
13838651,ddwkrlyvhbrb,1
74483802,rrpvplywdbqb,1
185993859,wjwsklyvgbjc,1
182548764,lvdqplywfbcb,1
146658152,znblglyvkbrb,1
12014176,230480880,0
53038122,230075938,1
96291022,qxkxxhywfbpb,1
199795048,229278284,0
142221572,229945115,1
10092424,227553255,1
191679687,229719736,1
111968302,225579767,1
104318422,nclpmlyvgbtb,1
203707384,227845468,1
128324892,138971432,1
186018943,230511368,1
183327001,229119233,1
11322029,dtjxncyvpbgb,1
11103435,229137980,1
182946878,lftfqlywdbmb,1
139398342,rztgklyvnbjc,1
11248928,svhmglyvmblb,1
200426176,230449532,0
104938132,gzwprlywcbcb,1
200412487,229112657,1
119489612,qwffsjywfbtb,1
10794928,qjrvthyvjbsb,1
9471376,xxwcqlywfbmb,1
200993762,229564673,1
3924257,226890342,1
191251686,227622666,1
58784572,229780164,1
183503636,221127808,0
4184403,229901411,0
11580180,zkqnnlywdbcb,1
137000762,230094532,1
62198122,230426458,1
13752694,230309851,0
182976055,229558976,1
188633371,229884346,1
145810122,230385690,1
189534397,152785792,0
7354275,229948453,1
12154063,fnvwglywcbxb,1
13004828,229776247,1
154699662,230300017,0
10051765,228884321,1
176744562,vcglmlyvpblb,1
74483802,kqpvplyvlbkc,1
25008202,qmhnslyvkbtb,1
140500582,222041036,0
198381765,230506483,1
136965682,knswmlywfbnc,1
201080848,229610502,1
171968292,whsmglyvhbhb,1
161393302,229101082,1
152365382,dtnrggyvgbkc,1
91511082,lvdqplyvhbxb,1
117627052,228463246,1
199546650,230323860,1
5873177,qnhdwhywdbhc,1
198592495,229964025,1
46848122,wwqhdlywdbjb,1
6515798,230336635,1
96291022,qxkxxhyvnbcb,1
19814971,rztgklywdbcb,1
79029692,230141882,1
101654102,qkpwqjyvmbmb,1
193838040,dnsfskyvlbpb,1
33602992,230425020,1
188956769,229869816,1
183108269,138971542,0
48882432,jhldnlyvlbgc,1
13697205,wmcxmlyvjbcc,1
9584257,mgvzklyvgbdc,1
59082442,230027292,1
90197012,230255603,1
3049441,pjcqhlyvqbbc,1
6659392,dwjskfyvkbbc,1
189881638,229890030,0
52003272,dzrxgdyvjbdc,1
81199182,230152544,0
74358272,230302129,1
72997302,152785792,1
105436402,229045007,1
54807482,229717183,1
183909604,jckgglyvlblb,1
158309222,138971542,0
202116656,tfshslyvkbrb,1
4249680,sflsrlywfbzb,1
176276952,fjhnslywgbcc,1
101875932,lgpxklyvqbqb,1
12713051,229158671,1
124045672,230248830,1
14400237,lvdqplyvjbdc,1
9227886,229923953,1
14328785,230035379,1
10718091,230466401,1
100476072,230374876,1
10130432,229045007,1
159490362,230056450,1
199991119,230035379,1
2136876,txrmllywgbhb,1
157904122,xbjnplyvmblb,1
3244213,230027672,1
187242452,228884321,1
13697205,wmcxmlywcbgc,1
13537721,dqmtclyvgbcc,1
29322432,229835242,1
73459242,228787631,1
13371992,230391454,1
198017117,229945115,1
182609702,230323540,1
94430012,lgpxklywdbkc,1
7209729,wqvwclyvqbcc,1
189018982,229497370,1
128320952,229564673,1
10872269,lxgmslywfbcb,1
182877078,rhphglyvgbkc,1
164149452,138971542,1
12387345,wjwsklywfblc,1
27534392,229717183,1
198900693,fdgcqlyvhblb,1
58205712,rcpbflywdbvb,1
5807837,hdfjqlyvpbcb,1
72426302,jphnslyvpbxb,1
203467443,230153317,1
189074092,230469494,1
71857362,qmhnslyvhbbc,1
124432132,qxkxxhyvjbgb,1
20392791,qgwmhdyvkbmb,1
28998672,qbsdwjyvhbvb,1
185336797,230322011,1
37341792,229834277,1
138234002,84024272,0
1711396,mfkxnlyvhblc,1
104751592,rnvzjlywgbqb,1
37856942,xfsxmlyvgblc,1
195668030,229851986,1
4819326,zdsdrlyvpbdb,1
7793872,222051043,0
11568311,fwshnlyvmbqb,1
199998210,230382174,1
96744352,fsfqslyvjbpb,1
9199520,230322314,1
4056863,dfdtsjyvmbqb,1
13152376,sggdrlyvhbhb,1
138792882,230249023,1
88359182,230001983,0
24053862,229627811,1
44582762,229715632,1
6781248,kvxtrlyvjbmb,1
6152909,vxzdjlywfbnb,1
10513424,spbmqyvnbmc,1
1870743,104431012,1
48461042,229081478,1
47156962,qgwmhdywfbpb,1
184377825,gzblslyvjbfc,1
184377825,gzblslyvkbfc,1
191594543,230232663,1
24674952,230483213,1
96827572,144899882,0
11464942,230320331,1
84083522,228277833,1
37796962,qtdsghyvhbpc,1
10555965,229126827,1
182471175,kvxtrlyvjbmb,1
70711852,qsmcllyvqbzb,1
194869666,230122812,1
13482107,229945115,1
11885543,230023441,0
195151757,hzjrqlyvgbhc,1
182815103,229699839,1
11255773,sjqddlyvkbjb,1
3511585,223668878,1
82355172,lzqphlyvpbdb,1
159442162,229119233,1
184377825,gzblslyvgblc,1
184629953,brwkqlyvpbgb,1
11556865,pnwhrlyvkbqb,1
108082762,221127808,0
13551311,cbfgnlyvqbwb,1
182918449,223668878,1
187883089,228900959,1
36200852,rztgklyvpbfc,1
172455022,229061352,0
186381913,cvtqnlyvjbcb,1
55768452,230111954,1
9985078,qkfchkyvkbkc,1
70989542,228858197,0
140555282,138971542,0
66950162,qfzkcgywdbrb,1
24674952,230071114,1
193395712,gzblslyvhbkb,1
171968292,whsmglyvpbgc,1
68577182,230524391,1
203646772,230052551,1
200293158,229725085,1
12261602,223666658,1
105594082,229564686,1
174980822,230122812,1
8155925,229655812,1
192762842,224767666,0
117063602,qzsmpjyvgbcc,0
201701414,230372506,1
176276952,gzblslyvlbgb,1
10872269,wwgmslyvpbvb,1
124432132,qxkxxhyvhbsb,1
13551311,cbfgnlyvkbmb,1
93515872,230126557,1
192150400,vspfrlyvnbbc,1
159087602,229081478,1
14540110,229572815,1
186020841,fgswqlywdbdc,1
185759049,230372506,1
10737887,qfzkcgyvnbnb,1
56193642,230483213,1
6945361,230027292,1
185143893,138971432,0
26004602,223764505,1
20392791,qgwmhdywcblc,1
23825742,shprnlyvpbkc,0
39405222,229619044,1
28998672,qbsdwjyvlbmc,1
1711396,dgfkfjyvkbfb,1
44138242,230506483,1
183975065,230517732,1
178883162,229627975,0
191201375,229899301,1
9985078,qkfchkyvkbrb,1
71857362,jphnslyvkbtb,1
68235032,dgzpslyvkbzb,1
203118344,230499321,1
26788972,223668878,1
107347122,rnthrlyvhbnc,1
58931912,230509347,1
11556865,230253407,1
56834062,qbnrccyvkbfb,1
183909604,xblnslyvhbjb,1
182903567,230249023,1
201945693,230180959,1
9572228,cpctsyvhbkb,1
196277869,229497858,1
149581822,227196611,1
22444471,mszwnlyvqbxb,1
77880122,fhvlqlyvhbkb,1
4521822,229112657,1
184377825,gzblslyvhbqb,1
9484539,lvdqplywdbdc,1
106350642,kjggnlyvjbgb,1
12435020,pqzsplyvlbmb,1
119739392,230476348,1
43214762,dzvjrjyvjbmb,1
53370692,mdwrplywcbkb,1
2853561,225859089,1
193838040,dgzpslyvqbkc,1
188826248,138971542,0
199406480,229655812,1
193565314,lgffmlyvhbbc,1
8482021,qdjgbjywdbsb,1
146658152,znblglyvkbkc,1
7610828,229137980,1
122810542,gzblslyvjbmb,1
182946878,lftfqlywcbqb,1
70927872,229441568,1
15398181,229063046,1
58914472,230295830,1
82363552,229564673,1
143797262,152785812,1
5642907,173037822,1
152388362,hdfjqlywdblc,1
132650312,229572815,1
191911462,230381934,1
28696082,mdwrplyvnbcb,1
198026072,229073175,1
42804962,jmdgnlywdbxb,1
20392791,qgwmhdyvkbdb,1
183818533,152785792,0
172089002,230282681,1
47156962,qgwmhdyvpbhb,1
106728892,230358454,1
101654102,qkpwqjyvnbkb,1
27635322,229239685,1
11322029,dtjxncyvkbtb,1
56363122,230011687,1
184331615,qjjdwgyvhbcb,1
14261848,ttdjmlyvkbrb,1
58205712,rcpbflywfbvb,1
55768452,55260062,1
157891802,138971432,0
67449572,229260566,1
183458270,229081478,1
194822625,230524391,1
196879567,229473616,1
88679592,55260062,1
202338368,229941812,1
43337262,230075485,1
4511989,227117701,1
194169837,228947407,1
151184852,228956677,1
189162465,138971432,0
39306022,230475901,1
7032365,229776247,1
9985078,qkfchkywfbcb,1
13871380,dlcjlkyvgbhc,1
75752092,229795940,1
27195422,198862922,0
53859662,tmplslyvjbnc,1
82413202,227346564,1
56125322,229119233,1
10525130,229823501,1
193024194,229905439,1
12580731,215200502,0
11776839,229045007,1
66798272,229021414,1
35030162,229497858,1
36398572,tngxdlyvkbfc,1
5588871,230365113,1
146658152,qpwkwjyvpblb,1
13356709,229821077,1
203644273,229948453,1
4541741,230159326,1
200360806,229851986,1
140447992,thwtqlyvgbkc,0
9740299,qjrvthyvhbnb,1
81985732,230502466,1
22444471,mszwnlyvnbfc,1
96580452,gtkhjlyvhbhb,1
6515798,229762630,1
9011846,230027874,0
184629953,brwkqlywfbgc,1
5807837,hdfjqlyvmbbc,1
10786373,bjznplyvmbcc,1
151000922,227871882,1
64460032,230209780,1
192052202,wwgmslyvgbkc,1
39791752,lgpxklyvmbjc,1
6523809,227216776,1
117184212,229953096,1
148710902,jfjsklyvlbcb,1
184249078,brwkqlyvmbmb,1
110139752,230028603,1
9458708,mbdrrlyvlbdc,1
37574382,223885461,0
14527503,fjhnslywcbbc,1
7901412,226890342,1
102084592,229903871,1
98323252,229945115,1
153808852,230207328,1
30095102,ssjvmlyvgbcc,1
35600422,grhdrlyvhbgb,1
190519307,230388956,1
71857362,gzblslyvkbcc,1
28624572,lvdqplywgbhb,1
28696082,xxkkmlyvqbrb,1
77380882,230374876,1
13073238,229923953,1
197149114,lvdqplyvmbsb,1
18596581,fnvwglyvjbcb,1
191472636,132309232,0
74642572,228214372,1
115910372,229572815,1
29819202,230324069,1
191138424,230159326,1
182593128,qfkhklyvgbhc,1
183691858,zxwnslyvhbcb,1
196965520,xxkkmlywdbsb,1
194959982,qdjgbjyvhbnb,0
185079653,227348303,1
176744562,xfglmlywfbhb,1
81985732,230365113,1
182786010,229101332,1
28696082,xxkkmlyvnbpb,1
9172041,230404447,0
97049992,zbdlnlyvnbhb,1
71857362,gzblslyvkblc,1
5807837,dqmtclyvpbfb,1
182720785,rztgklyvkbrb,1
138971792,230466401,1
22692881,230218134,1
190845987,230372506,1
203766957,229572815,1
44231102,qkfchkyvlbgc,0
8076984,229776925,1
200125323,sggdrlyvhbhb,1
5204557,bxmgslyvkbrb,1
140923812,229063046,1
203772303,230405604,1
172015402,229073175,1
4972523,230498149,0
38050362,229815925,1
28998672,tjzlnlyvhbgc,1
151425432,230030580,0
12801943,qdsdplyvhbfb,1
84967922,228478161,1
131980612,229697010,1
1516381,ttdjmlyvgbkc,1
3778202,229260566,1
147975372,zllzrlyvkbvb,1
47679722,nsmpllyvgbjc,1
130491272,184167702,1
188975485,230249023,1
12444982,184167702,0
203699558,230052551,1
85483762,229126827,1
192549771,qvvkhcyvgbfc,1
11707103,229473616,1
145253702,230391454,1
47444032,229497370,1
64120802,229841984,0
14031192,230147579,1
122810542,gzblslyvjbhc,1
186020841,nfswqlyvnbqb,1
8530758,223668878,1
1711396,dgfkfjyvmbhc,1
93542562,tqgnslyvhbbc,1
94430012,lgpxklyvhbnc,1
9762548,113871172,1
147724742,230027292,0
194109404,229905439,1
176744562,xfglmlywdbjc,1
9421491,230156302,1
58205712,rcpbflyvpbwb,1
8575630,229841984,1
56568172,222041036,0
186431621,229616633,1
188142486,zrmgmlywdbgb,1
194200112,230269433,1
203589952,fgxpslyvhbrb,1
159354732,dklqwjytcbcc,0
53370692,mdwrplywfbgb,1
184999470,215200882,0
160337852,230475901,1
27384352,rztgklyvjbcb,1
50412492,230509224,1
12114353,230374876,1
14457666,113871172,1
116196652,230023441,1
12480514,229821077,1
146337122,230295830,1
61071382,230483213,1
41482802,229260566,1
14600678,138971432,0
190218532,229495023,1
8573602,qfmmhjywdbdb,1
54144182,gpwmslyvkblc,1
55794502,230528608,1
93540462,gzblslyvkbnc,1
186923787,223668878,1
28998672,tjzlnlyvjbcc,1
81470882,lvdqplyvpbvb,1
161734292,hdfjqlyvhbfb,1
133362332,230480108,1
163797392,228922098,1
1711396,mfkxnlyvqbfb,1
19771021,qnfwnjywfbzb,1
27148362,229969641,1
189566753,229572987,1
119810482,228601394,0
189476208,230365936,1
10609056,229063046,1
35381722,228902169,0
12580731,230483213,1
67186932,cddtflyvgbjc,1
28625512,lvdqplywfbdc,1
200351113,229616633,0
81963472,229119233,1
10872269,lxgmslywcbxb,1
69007232,138971432,1
47156962,qxwrcfyvnbhc,1
10737887,qfzkcgywcbnc,1
199672583,229616633,0
5685298,grhdrlywcbgb,1
173518882,229103813,1
185853463,230094532,1
186189987,rlhsplyvmbjc,1
17912271,229782831,1
7419580,229944567,1
6850706,228981109,0
122343972,qmhnslyvhbbc,1
137398012,230120446,1
11841977,230495786,1
184537150,229627975,1
14603419,fhxjmlyvnblc,1
9600160,qvzcthyvhbcb,1
33329382,229234942,1
199892578,tqplrlyvhbdc,1
14261848,dqxkxkyvhbpb,1
7807891,zrkpglyvmbrb,1
12014176,230390746,0
200896948,cxtsrlyvkbxb,1
11030033,zvhxrlyvhbdc,1
19716911,230259415,1
5220940,230035379,1
184149087,229725085,0
71796882,55260062,0
193386723,223668878,1
122810542,gpwmslyvkbkb,1
58914472,230023441,1
33626912,mwsbhlyvnbbc,1
13624141,230426553,1
137097712,230027292,1
90413752,229233986,1
146658152,qpwkwjyvhbwb,1
189554338,230477023,1
17612931,222051043,0
101654102,skcvllyvnbzb,1
192542806,kbnnllyvgblc,1
141742802,230347392,1
182427342,229824477,1
3049441,pjcqhlywcbfb,1
16400541,khcrhlywdbfc,1
3316068,230385989,1
93542562,tqgnslyvpbxb,1
170480872,229616633,0
133578252,230487172,1
5204557,bxmgslyvmbkb,1
